time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.26900497625342e-07,1.484922858169002e-07,10.00302767801128,0.00015726300887486389,0.00044369628934148864,0.0,-4.3340978661614945e-05,1.3448573245475906e-05,0.10091827269111311,0.007406371763903468,0.019134254926011535,0.0,436.7685421002123,438.3610774314927,436.5078705320495,437.1253375068834
0.12000000000000001,-1.585721336516415e-05,5.46663748464797e-06,10.010585580046431,0.00033510710063833216,0.001765576733734342,0.0,-0.0005850402534603777,0.00019509775586533157,0.1510059100206741,-0.007864491124023576,0.027272950061736724,0.0,420.0604063241854,420.76550722501344,421.81154019108516,420.4909164588228
0.18,-0.00010439370731057636,2.3754522924526638e-05,10.027871312252234,8.81122966678305e-06,0.003138804161068265,0.0,-0.0025607719509112147,0.00036398404157901717,0.42512280319947016,-0.0009804973267139145,0.012230952432587008,0.0,490.63116242925594,489.5132837935529,487.83860876905345,488.35237038943694
0.23999999999999996,-0.00031152798485513736,4.558130405421636e-05,10.052023608361383,6.283169368783479,0.004010319297852227,0.0,-0.004408672560919501,0.0003602296351183636,0.3799701500279242,0.0007000673191722971,0.018758576780265646,0.0,388.27615722575473,388.88790660169036,387.97273221768955,388.1304729273803
0.3,-0.0006674487558792116,6.745194810991663e-05,10.078851157574954,0.0003924864284350349,0.004954356444641483,0.0,-0.0075668183998031015,0.0003952332649031833,0.51422955195485,0.016848439481370162,0.008870162416348523,0.0,447.8004165938304,446.99534646212146,447.57156397295876,448.8836259959965
0.36000000000000004,-0.001262278765709478,0.00010827385523370207,10.11973521357692,0.00201329929265448,0.006029923133461068,0.0,-0.012375704180888241,0.0011524569148504277,0.8483844831751214,0.042049319934732536,0.03169563680479077,0.0,505.54474132664853,507.18641711470076,504.9188908533833,506.73351095213553
0.4200000000000001,-0.0021638860078954255,0.00024002848451902276,10.177842519669785,0.0051412249485096595,0.00823353661173254,0.0,-0.0179303911935074,0.0035919964597568303,1.0883255881940659,0.06707340043632755,0.04525518824032207,0.0,480.60829320381026,481.635276906721,477.93741941688563,479.8420803080636
0.48000000000000015,-0.003440913008849712,0.0005909564055297816,10.248503587515957,0.009020082509613836,0.01104058043859002,0.0,-0.024949522554924747,0.008554081561554768,1.2668566115193645,0.05929427581868803,0.04967786562193255,0.0,461.328278550641,461.67853820825025,463.49558975738165,462.88675786017916
0.5400000000000001,-0.005172702989753396,0.0013001520285593634,10.327105329553083,0.012529508724200333,0.014098247741014092,0.0,-0.03307761289292897,0.01543805065887317,1.3530956241449539,0.05683298278201382,0.0534106181527977,0.0,434.0735667261079,434.38838900227466,434.1717806970222,433.9677238065583
0.6000000000000002,-0.0074746077922369794,0.002510483434517462,10.412221982671271,0.01575477623567867,0.017322779315573023,0.0,-0.04399279665516973,0.02525857450459573,1.4839548363236472,0.046753326416771705,0.054396981037783496,0.0,447.9272316980065,448.00931577944993,449.32193550480565,448.5059712643227
0.6600000000000003,-0.010548630298205712,0.004420308641153276,10.507816036399271,0.01874330073445396,0.020795488821943486,0.0,-0.05887273577942033,0.0387441206200294,1.7022006964378782,0.05530778064782685,0.06406061419611637,0.0,475.06642966641795,475.80882586468647,474.4854137014957,475.1430045546584
0.7200000000000003,-0.014596428450020273,0.0072084738383283884,10.616237293037083,0.02191993676819326,0.02482374579838531,0.0,-0.07651276564519455,0.05457245135628877,1.9114960780121155,0.047740990456028,0.07267093630938472,0.0,472.55393273152214,473.22019554749386,473.72679891579105,473.146285131642
0.7800000000000004,-0.01983823096397772,0.011050672882671246,10.738563995994202,0.02462635512491307,0.0304022063194056,0.0,-0.09884329308895484,0.0738386776876292,2.1655881059275104,0.03923816199818797,0.11710658012663794,0.0,485.2712582233255,488.60093722713873,487.1237286055191,486.48849587492435
0.8400000000000004,-0.026418113993792125,0.015993226829298567,10.87127453138863,0.027036941320992547,0.03818241103286901,0.0,-0.121234911854302,0.09114819545674804,2.2578848444649857,0.041989419307124284,0.14721955132853412,0.0,437.67205525432917,440.18607568938046,439.3588806570703,439.5877649810086
0.9000000000000005,-0.03465944165292532,0.022130150284822635,11.013350877725482,0.030017565661722756,0.04651490863856633,0.0,-0.15449804517136836,0.1137350785468179,2.477487362608377,0.0617830531005899,0.11169607727231944,0.0,479.32892547965344,476.6374374968875,477.95638481384646,479.4637810676579
0.9600000000000005,-0.044956008299662294,0.029613637683011593,11.165815152272192,0.03364716956912783,0.05302324527013713,0.0,-0.18940847027525004,0.1360932813899652,2.6043224339913484,0.05778186436949528,0.10109416121612523,0.0,451.6932822114531,450.8476213580963,452.02023624198944,451.7002158005345
1.0200000000000005,-0.05764936225882497,0.03861956131980089,11.328918387944105,0.036750825497427364,0.05907965430198381,0.0,-0.2344069533158701,0.16448585328966092,2.831853810068492,0.03547921223278319,0.10063058666624508,0.0,483.32011372781267,483.2930856560326,482.26559999383085,480.57954081386896
1.0800000000000005,-0.07289790597735597,0.04921768013014721,11.500794298134773,0.038689641252239504,0.06552660556836098,0.0,-0.2744754237299651,0.18897436375058502,2.89712552696666,0.025083036197000544,0.11843464901496445,0.0,432.1550659230283,433.6634957073264,435.80294429826284,434.9335117192221
1.1400000000000006,-0.0906333247377668,0.06129392446412686,11.675868717860233,0.04096539059658166,0.07274570968454519,0.0,-0.31736709898108706,0.21374388819506698,2.9385181653713377,0.055769593054954304,0.12383897914720209,0.0,426.7729894808356,427.24770445929795,425.42378144111785,428.0439502459489
